FIELD               USED_IN
album               music
rating              music
playlist            music
song                music
artist              music
station             music
genre               music, theatre
originalTitle       calendar        
replacementTitle    calendar            
originalDate        calendar        
replacementDate     calendar        
originalLocation    calendar            
replacementLocation calendar            
originalTime        calendar        
replacementTime     calendar        
contactName         calendar    
deleteContactName   calendar            
duration            calendar    
dateRange           calendar, weather, business, theatre    
timeRange           calendar, transit, business 
repeatDaysLength    calendar            
lengthOfTime        calendar        
repeatDays          calendar    
meetingTitle        calendar        
location            calendar, weather, reminder, transit
date                calendar, reminder, alarm, transit
contacts            email, message, call, contact
message             email,message
subject             email
keyword             email
time                weather, reminder, alarm, timer
message             reminder
leaveLocation       reminder
repeatDays          alarm
destination         navigation
origin              navigation
transitType         navigation, transit
route               transit
searchTerm          search, social, business
numPeople           social, business
appname             application
contactField        contact
contactFieldValue   contact
mpaaRating          theatre
actor               theatre
theatre             theatre
title               theatre
numTickets          theatre
departureTime       travel
departureDay        travel
returnTime          travel
returnDay           travel
destination         travel
departing           travel
carrier             travel
sortOrder           travel
noReturn            travel
child               travel
adult               travel
senior              travel
price               travel
luxury              travel

KNOWLEDGE, HELP_HELP, STOPWATCH_START, STOPWATCH_STOP, STOPWATCH_DISPLAY, SPORTS_MISC use no entities at all.

